,,,,,,,
,,,,,,,
,,,,,,,
,,                                                                                                                     PENDAFTARAN SHF JILID III SD,,,,,
,,,,,,,
,,NO,ASAL SEKOLAH ,NAMA GRUP,UANG PENDAFTARAN, BUKTI PENDAFTARAN/TANGGAL ,KETERANGAN
,,1.,SDN KALIREJO BANGIL,GRUP  NUR QOLBI,"110,000",TF KE RAHMAT/06 JULI 2026,LUNAS
,,2.,SDN TRAJENG 2,-,"110,000", TF KE RAHMAT/17 JULI 2026,LUNAS
,,3.,UPT SDN BLANDONGAN,GRUP NURUL MUSTOFA,"110,000",TF KE RAHMAT/22 JULI 2026,LUNAS
,,4.,MI ROUDOTUL BANAT,,"110,000",TF  KE RAHMAT/01 AGUSTUS 2026,LUNAS
,,5.,,,,,
,,6.,,,,,
,,7.,,,,,
,,8.,,,,,
,,9.,,,,,
,,10.,,,,,
,,11.,,,,,
,,12.,,,,,
,,13.,,,,,
,,14.,,,,,
,,15.,,,,,
,,16.,,,,,
,,17.,,,,,
,,18.,,,,,
,,19.,,,,,
,,20.,,,,,
,,21.,,,,,
,,22.,,,,,
,,23.,,,,,
,,24.,,,,,
,,25.,,,,,
,,26.,,,,,
,,27.,,,,,
,,28.,,,,,
,,29.,,,,,
,,30.,,,,,
,,31.,,,,,
,,32.,,,,,
,,33.,,,,,
,,34.,,,,,
,,35.,,,,,
,,36.,,,,,
,,37.,,,,,
,,38.,,,,,
,,39.,,,,,
,,40.,,,,,
,,41.,,,,,
,,42.,,,,,
,,43.,,,,,
,,44.,,,,,
,,45.,,,,,
,,46.,,,,,
,,47.,,,,,
,,48.,,,,,
,,49.,,,,,
,,50.,,,,,
